ds,y
1/1/2019,127384
1/2/2019,75301
1/3/2019,200382
1/4/2019,208317
1/5/2019,556530
1/6/2019,776853
1/7/2019,850783
1/8/2019,851765
1/9/2019,753738
1/10/2019,807600
1/11/2019,673768
1/12/2019,476413
1/1/2020,357041
1/2/2020,256752
1/3/2020,113224
1/5/2020,23411
1/6/2020,73227
1/7/2020,99026
1/8/2020,247791
1/9/2020,272317
1/10/2020,321659
1/11/2020,330420
1/12/2020,306579
1/1/2021,273972
1/2/2021,309120
1/3/2021,295721
1/4/2021,230561
1/5/2021,189864
1/6/2021,171476
1/7/2021,181.951
